date,price,sma,signal,trend_following,buy_and_hold
2022-08-18,405.6051940917969,406.50463150024416,0,94211.42424221234,99279.40425071999
2022-08-19,400.1546630859375,406.3399597167969,0,94211.42424221234,97945.2855584694
2022-08-22,391.8224182128906,406.12040618896486,0,94211.42424221234,95905.81387734493
2022-08-23,390.87451171875,405.8858462524414,0,94211.42424221234,95673.79615815771
2022-08-24,392.1258239746094,405.64994842529296,0,94211.42424221234,95980.07807245004
2022-08-25,397.6616516113281,405.43985427856444,0,94211.42424221234,97335.0746992529
2022-08-26,384.2012023925781,405.1697248840332,0,94211.42424221234,94040.37976227899
2022-08-29,381.6607666015625,404.90451965332034,0,94211.42424221234,93418.5609208463
2022-08-30,377.470947265625,404.6176628112793,0,94211.42424221234,92393.02482404799
2022-08-31,374.5987243652344,404.3000364685059,0,94211.42424221234,91689.99492556616
2022-09-01,375.774169921875,403.9875372314453,0,94211.42424221234,91977.7070562102
2022-09-02,371.8118286132813,403.6465531921387,0,94211.42424221234,91007.85043138066
2022-09-06,370.4089660644531,403.30389923095703,0,94211.42424221234,90664.4737682559
2022-09-07,377.0633239746094,402.98706298828125,0,94211.42424221234,92293.25145309459
2022-09-08,379.5279541015625,402.6864877319336,0,94211.42424221234,92896.51545036703
2022-09-09,385.4240112304688,402.4215815734863,0,94211.42424221234,94339.68493565117
2022-09-12,389.56634521484375,402.17448013305665,0,94211.42424221234,95353.59811074522
2022-09-13,372.6271057128906,401.8368225097656,0,94211.42424221234,91207.40464303149
2022-09-14,374.0489807128906,401.5553582763672,0,94211.42424221234,91555.43495668433
2022-09-15,369.8022766113281,401.226266784668,0,94211.42424221234,90515.97525702183
2022-09-16,366.9811096191406,400.9254502868652,0,94211.42424221234,89825.44224029526
2022-09-19,369.826904296875,400.6625843811035,0,94211.42424221234,90522.00334045068
2022-09-20,365.58197021484375,400.3461457824707,0,94211.42424221234,89482.97688594168
2022-09-21,359.2047424316406,400.0164796447754,0,94211.42424221234,87922.03194660183
2022-09-22,356.1875915527344,399.64655288696287,0,94211.42424221234,87183.5282337412
